name	length	gc_content	gc_skew	at_skew	at_content	cluster_length	cluster_nuc	clustering_method	role
Init_clust_1	0.4	0.6	200	0	NA	1	G	find_available_random_range	init_G_clustered
Init_clust_2	0.4	0.6	200	0	NA	2	G	find_available_random_range	init_G_clustered
Init_clust_3	0.4	0.6	200	0	NA	3	G	find_available_random_range	init_G_clustered
Init_clust_4	0.4	0.6	200	0	NA	4	G	find_available_random_range	init_G_clustered
Init_clust_5	0.4	0.6	200	0.2	NA	1	G	find_available_random_range	init_G_clustered
Init_clust_6	0.4	0.6	200	0.2	NA	2	G	find_available_random_range	init_G_clustered
Init_clust_7	0.4	0.6	200	0.2	NA	3	G	find_available_random_range	init_G_clustered
Init_clust_8	0.4	0.6	200	0.2	NA	4	G	find_available_random_range	init_G_clustered
Init_clust_9	0.4	0.6	200	0.4	NA	1	G	find_available_random_range	init_G_clustered
Init_clust_10	0.4	0.6	200	0.4	NA	2	G	find_available_random_range	init_G_clustered
Init_clust_11	0.4	0.6	200	0.4	NA	3	G	find_available_random_range	init_G_clustered
Init_clust_12	0.4	0.6	200	0.4	NA	4	G	find_available_random_range	init_G_clustered
